Response_ID,Age,Gender,Marital Status,Educational Qualification,Department,Job Level,Employment Type,Years at Infinity Microfinance Bank,Years of Experience in the Banking Sector,DIV01,DIV02,DIV03,DIV04,DIV05,DIV06,DIV07,DIV08,DIV09,INC01,INC02,INC03,INC04,INC05,INC06,INC07,INC08,INC09,INC10,PERF01,PERF02,PERF03,PERF04,PERF05,PERF06,PERF07,PERF08,PERF09,PERF10,PERF11,REL01,REL02,REL03,REL04,REL05,REL06,REL07,Diversity_Score,Inclusion_Score,Performance_Score,Relationship_Score,Overall_D&I_Performance_Score,Performance_Band
R011,28 – 37 years,Male,Married,Bachelor's Degree / HND,Marketing / Business Development,Senior Staff,Full-time,2 – 5 years,5 – 10 years,5,5,5,5,5,5,5,3,4,4,4,4,4,3,3,4,3,4,4,2,5,4,3,5,4,3,5,4,4,4,4,4,4,4,4,4,3,4.666666666666667,3.7,3.909090909090909,3.857142857142857,4.033225108225109,High
R012,38 – 47 years,Male,Married,Bachelor's Degree / HND,Internal Audit,Management / Executive,Full-time,5 – 10 years,Above 10 years,5,4,4,5,5,5,4,3,4,4,5,5,4,4,4,4,4,4,2,4,4,4,4,4,4,5,5,4,4,5,4,4,4,4,4,5,4,4.333333333333333,4.0,4.2727272727272725,4.142857142857143,4.187229437229437,High
R013,38 – 47 years,Female,Married,Bachelor's Degree / HND,Operations / Teller,Junior Staff,Full-time,5 – 10 years,5 – 10 years,5,5,5,5,5,5,5,2,4,5,4,4,4,2,4,5,4,5,4,4,5,4,4,5,5,5,5,4,5,4,4,4,4,5,4,5,4,4.555555555555555,4.1,4.545454545454546,4.285714285714286,4.371681096681097,Very High
R014,38 – 47 years,Female,Married,Bachelor's Degree / HND,Marketing / Business Development,Junior Staff,Full-time,Less than 2 years,Above 10 years,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,Very High
R015,38 – 47 years,Female,Single,Diploma / OND / NCE,Marketing / Business Development,Senior Staff,Full-time,Above 10 years,Above 10 years,4,5,5,4,5,5,4,4,5,4,5,4,4,4,4,4,4,4,4,4,5,4,4,5,4,5,5,4,4,4,4,4,4,4,5,5,4,4.555555555555555,4.1,4.363636363636363,4.285714285714286,4.326226551226551,High
R016,38 – 47 years,Female,Married,Bachelor's Degree / HND,Credit and Risk Management,Senior Staff,Full-time,Above 10 years,Above 10 years,2,4,4,4,4,4,4,1,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,5,4,4,4,4,4,4,4,3.4444444444444446,4.1,4.363636363636363,4.0,3.977020202020202,High
R017,48 years and above,Male,Married,Professional Certificate,Finance / Accounts,Management / Executive,Full-time,Less than 2 years,Above 10 years,5,3,4,4,4,4,4,3,4,3,3,3,2,3,2,4,4,5,4,2,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3.888888888888889,3.3,3.5454545454545454,4.0,3.6835858585858583,High
R018,28 – 37 years,Female,Married,Bachelor's Degree / HND,Operations / Teller,Junior Staff,Full-time,5 – 10 years,5 – 10 years,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,5,4,4,3,4,4,5,5,4,4,3,3.888888888888889,4.0,4.0,4.142857142857143,4.007936507936508,High
R019,48 years and above,Female,Married,Bachelor's Degree / HND,Operations / Teller,Senior Staff,Full-time,Above 10 years,Above 10 years,4,4,4,5,5,5,4,2,4,5,4,5,4,5,4,4,5,4,4,4,4,4,4,5,4,4,5,4,4,5,4,5,4,4,4,4,5,4.111111111111111,4.4,4.2727272727272725,4.285714285714286,4.267388167388167,High
R020,38 – 47 years,Male,Married,Bachelor's Degree / HND,Marketing / Business Development,Junior Staff,Full-time,2 – 5 years,Above 10 years,2,4,4,4,4,5,5,4,4,4,5,5,5,4,3,4,4,5,5,4,3,4,4,5,4,4,5,4,4,4,3,5,4,4,5,5,4,4.0,4.4,4.090909090909091,4.285714285714286,4.194155844155844,High
R021,28 – 37 years,Female,Married,Bachelor's Degree / HND,Marketing / Business Development,Junior Staff,Full-time,2 – 5 years,2 – 5 years,4,4,5,4,4,4,4,2,4,4,4,3,4,4,3,4,4,4,4,3,5,4,4,5,4,5,5,4,4,4,4,4,4,5,4,4,3,3.888888888888889,3.8,4.2727272727272725,4.0,3.99040404040404,High
R022,28 – 37 years,Male,Married,Bachelor's Degree / HND,Credit and Risk Management,Junior Staff,Full-time,Less than 2 years,2 – 5 years,5,2,5,5,1,5,5,1,2,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,2,3.4444444444444446,5.0,4.7272727272727275,4.285714285714286,4.364357864357864,Very High
R023,28 – 37 years,Female,Single,Bachelor's Degree / HND,Credit and Risk Management,Junior Staff,Full-time,Less than 2 years,Less than 2 years,5,4,4,4,4,5,5,3,5,4,5,4,4,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,4,5,5,4,4,5,4,5,5,4.333333333333333,4.4,4.454545454545454,4.571428571428571,4.439826839826839,High
R024,38 – 47 years,Female,Married,Diploma / OND / NCE,Marketing / Business Development,Senior Staff,Full-time,5 – 10 years,5 – 10 years,4,4,4,4,4,3,4,2,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,5,5,5,4,5,5,4,4,4,3,4,4,4,3.6666666666666665,3.8,4.363636363636363,3.857142857142857,3.921861471861472,High
R025,38 – 47 years,Male,Single,Bachelor's Degree / HND,Marketing / Business Development,Junior Staff,Contract,Less than 2 years,2 – 5 years,5,5,5,5,5,4,4,3,4,4,4,4,4,4,3,3,4,3,4,3,4,5,4,3,4,5,4,3,4,4,4,4,4,4,4,4,4,4.444444444444445,3.7,3.909090909090909,4.0,4.013383838383839,High
R026,38 – 47 years,Male,Married,Bachelor's Degree / HND,Credit and Risk Management,Junior Staff,Full-time,5 – 10 years,5 – 10 years,5,5,4,2,5,5,4,4,5,4,4,5,4,5,4,4,5,5,5,4,4,5,5,4,5,5,5,5,4,4,4,5,5,5,5,5,3,4.333333333333333,4.5,4.545454545454546,4.571428571428571,4.487554112554113,Very High
R027,38 – 47 years,Male,Married,Master's Degree,Marketing / Business Development,Senior Staff,Full-time,Above 10 years,Above 10 years,4,4,5,5,4,5,4,1,4,4,4,3,4,4,4,4,5,5,4,4,4,4,4,4,4,5,3,4,4,2,4,4,4,4,4,5,4,4.0,4.1,3.8181818181818183,4.142857142857143,4.01525974025974,High
R028,48 years and above,Female,Married,Bachelor's Degree / HND,Marketing / Business Development,Senior Staff,Full-time,Above 10 years,Above 10 years,4,4,4,4,4,4,4,2,4,3,4,4,4,4,4,4,5,5,5,2,5,5,5,4,5,5,4,5,5,5,4,4,5,2,3,5,4,3.7777777777777777,4.2,4.545454545454546,3.857142857142857,4.095093795093796,Very High
R029,38 – 47 years,Female,Married,Bachelor's Degree / HND,Marketing / Business Development,Junior Staff,Full-time,2 – 5 years,2 – 5 years,5,4,4,5,4,4,4,2,4,4,4,4,4,4,4,4,5,5,2,4,4,4,5,4,4,5,5,4,4,5,5,4,4,4,4,4,4,4.0,4.0,4.363636363636363,4.142857142857143,4.126623376623376,High
R030,18 – 27 years,Male,Single,Bachelor's Degree / HND,Marketing / Business Development,Junior Staff,Full-time,Less than 2 years,2 – 5 years,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.777777777777778,5.0,5.0,5.0,4.944444444444445,Very High
R031,38 – 47 years,Female,Married,Diploma / OND / NCE,Marketing / Business Development,Senior Staff,Full-time,5 – 10 years,Above 10 years,5,5,5,5,5,5,5,2,4,4,5,5,4,4,4,5,5,5,5,4,5,5,5,4,4,5,5,5,4,5,4,5,4,2,5,5,5,4.555555555555555,4.6,4.636363636363637,4.285714285714286,4.519408369408369,Very High
R032,28 – 37 years,Female,Married,Diploma / OND / NCE,Operations / Teller,Senior Staff,Full-time,5 – 10 years,5 – 10 years,5,5,5,5,5,5,5,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4.666666666666667,4.9,5.0,4.714285714285714,4.820238095238095,Very High
R033,38 – 47 years,Male,Married,Bachelor's Degree / HND,Marketing / Business Development,Junior Staff,Full-time,2 – 5 years,5 – 10 years,3,5,5,5,4,4,4,2,4,4,5,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,4.0,3.9,3.8181818181818183,3.857142857142857,3.893831168831169,High
R034,38 – 47 years,Female,Married,Bachelor's Degree / HND,Marketing / Business Development,Senior Staff,Full-time,Above 10 years,Above 10 years,4,4,5,4,5,5,4,3,4,4,5,5,5,4,4,5,4,5,5,4,4,4,4,5,5,5,5,5,4,5,4,5,5,4,5,5,4,4.222222222222222,4.6,4.545454545454546,4.571428571428571,4.484776334776335,Very High
R035,28 – 37 years,Female,Married,Bachelor's Degree / HND,Marketing / Business Development,Junior Staff,Full-time,2 – 5 years,Above 10 years,4,2,4,4,4,4,4,2,4,4,2,2,2,2,1,2,2,2,2,2,4,2,2,2,4,4,2,2,2,2,3,2,3,2,4,3,1,3.5555555555555554,2.1,2.5454545454545454,2.5714285714285716,2.693109668109668,Moderate
R036,18 – 27 years,Female,Single,Bachelor's Degree / HND,Marketing / Business Development,Junior Staff,Full-time,Less than 2 years,Less than 2 years,5,5,5,5,5,5,4,2,4,4,4,4,4,3,4,4,4,4,4,2,5,4,4,3,5,5,4,4,4,5,4,4,3,2,4,4,4,4.444444444444445,3.9,4.090909090909091,3.5714285714285716,4.001695526695527,High
R037,38 – 47 years,Female,Married,Bachelor's Degree / HND,Marketing / Business Development,Senior Staff,Full-time,2 – 5 years,2 – 5 years,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.7777777777777777,4.0,4.0,4.0,3.9444444444444446,High
R038,38 – 47 years,Female,Married,Undergraduate,Marketing / Business Development,Senior Staff,Full-time,5 – 10 years,5 – 10 years,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,5,2,2,5,5,3.7777777777777777,4.0,3.8181818181818183,3.857142857142857,3.863275613275613,High
R039,28 – 37 years,Female,Married,Bachelor's Degree / HND,Operations / Teller,Senior Staff,Full-time,5 – 10 years,5 – 10 years,5,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.888888888888889,4.0,3.8181818181818183,4.0,3.926767676767677,High
R040,28 – 37 years,Male,Married,Bachelor's Degree / HND,Marketing / Business Development,Junior Staff,Full-time,Above 10 years,Above 10 years,4,5,2,4,5,5,5,5,4,4,5,4,5,5,4,4,4,5,4,4,5,4,5,5,2,2,4,5,5,4,4,5,4,5,3,5,4,4.333333333333333,4.4,4.090909090909091,4.285714285714286,4.277489177489177,High
R041,38 – 47 years,Female,Married,Professional Certificate,Credit and Risk Management,Management / Executive,Full-time,5 – 10 years,Above 10 years,5,5,5,5,4,5,4,4,5,4,5,4,5,2,4,5,5,4,4,4,4,5,4,5,3,4,4,5,5,5,4,4,3,4,5,4,4,4.666666666666667,4.2,4.363636363636363,4.0,4.307575757575758,High
R042,38 – 47 years,Female,Married,Bachelor's Degree / HND,Marketing / Business Development,Junior Staff,Full-time,5 – 10 years,5 – 10 years,4,3,5,4,4,5,5,5,5,3,4,4,3,4,5,3,4,4,3,5,5,5,4,4,3,5,4,4,5,5,4,2,5,4,4,4,2,4.444444444444445,3.7,4.454545454545454,3.5714285714285716,4.042604617604618,High
R043,28 – 37 years,Female,Married,Bachelor's Degree / HND,Marketing / Business Development,Senior Staff,Full-time,Less than 2 years,2 – 5 years,3,5,5,4,2,5,4,4,5,4,4,4,4,4,5,4,5,5,5,4,4,5,4,5,4,5,4,4,3,5,4,5,3,3,5,4,4,4.111111111111111,4.4,4.2727272727272725,4.0,4.195959595959596,High
R044,38 – 47 years,Female,Married,Diploma / OND / NCE,Finance / Accounts,Senior Staff,Full-time,2 – 5 years,Above 10 years,3,3,4,4,5,5,3,4,5,5,4,5,5,4,4,4,5,4,5,5,4,4,4,4,4,5,4,5,5,2,4,3,4,4,4,4,4,4.0,4.5,4.181818181818182,3.857142857142857,4.134740259740259,High
R045,38 – 47 years,Female,Married,Bachelor's Degree / HND,Marketing / Business Development,Management / Executive,Full-time,Above 10 years,5 – 10 years,5,3,4,2,2,4,5,4,4,5,5,4,3,4,4,5,4,2,5,4,3,4,4,4,4,5,4,4,3,3,4,4,4,4,4,4,3,3.6666666666666665,4.1,3.8181818181818183,3.857142857142857,3.8604978354978354,High
R046,28 – 37 years,Female,Married,Bachelor's Degree / HND,Marketing / Business Development,Senior Staff,Full-time,5 – 10 years,Less than 2 years,5,4,4,5,4,4,5,4,5,5,4,4,4,4,2,4,5,4,5,4,5,5,2,4,4,4,5,5,5,4,4,4,5,2,4,4,4,4.444444444444445,4.1,4.2727272727272725,3.857142857142857,4.168578643578644,High
R047,28 – 37 years,Female,Married,Bachelor's Degree / HND,Marketing / Business Development,Junior Staff,Full-time,Above 10 years,Above 10 years,4,5,4,4,5,4,4,4,4,5,4,4,4,3,4,5,5,4,5,4,2,4,4,4,4,4,2,4,2,3,5,5,5,5,5,4,5,4.222222222222222,4.3,3.3636363636363638,4.857142857142857,4.185750360750361,Moderate
R048,38 – 47 years,Female,Married,Bachelor's Degree / HND,Marketing / Business Development,Senior Staff,Full-time,Above 10 years,Above 10 years,4,5,5,4,4,2,4,4,4,4,3,3,4,4,4,5,3,4,4,5,3,4,5,3,5,5,2,2,4,4,4,5,5,4,4,4,4,4.0,3.8,3.8181818181818183,4.285714285714286,3.9759740259740255,High
R049,38 – 47 years,Female,Married,Bachelor's Degree / HND,Finance / Accounts,Junior Staff,Full-time,Less than 2 years,Above 10 years,4,5,5,4,5,4,4,5,5,2,4,4,4,2,2,4,4,5,4,4,4,3,5,4,5,4,5,5,5,4,4,4,2,4,5,3,5,4.555555555555555,3.5,4.363636363636363,3.857142857142857,4.069083694083694,High
R050,18 – 27 years,Male,Married,Diploma / OND / NCE,Marketing / Business Development,Management / Executive,Full-time,5 – 10 years,Above 10 years,4,4,4,4,4,4,3,5,5,2,3,4,4,5,5,4,4,4,5,2,2,4,4,5,4,4,5,3,4,2,4,4,4,3,3,5,5,4.111111111111111,4.0,3.5454545454545454,4.0,3.914141414141414,High
R051,38 – 47 years,Male,Married,Bachelor's Degree / HND,Marketing / Business Development,Management / Executive,Full-time,Above 10 years,5 – 10 years,4,5,5,3,4,1,1,4,4,2,4,5,4,5,2,4,5,4,4,4,5,4,4,4,4,4,4,4,3,4,5,5,4,4,4,5,5,3.4444444444444446,3.9,4.0,4.571428571428571,3.978968253968254,High
R052,28 – 37 years,Female,Married,Bachelor's Degree / HND,Finance / Accounts,Junior Staff,Full-time,5 – 10 years,5 – 10 years,4,3,2,5,3,4,5,4,2,4,5,4,5,5,5,5,5,5,4,5,4,3,4,4,5,5,5,5,5,5,5,5,4,5,4,4,4,3.5555555555555554,4.7,4.545454545454546,4.428571428571429,4.3073953823953826,Very High
R053,38 – 47 years,Female,Married,Diploma / OND / NCE,Human Resources / Administration,Junior Staff,Full-time,Above 10 years,Above 10 years,5,5,4,4,4,4,4,4,5,5,4,3,4,4,5,4,4,5,5,4,5,5,5,5,5,3,4,4,4,4,5,4,4,4,4,5,5,4.333333333333333,4.3,4.363636363636363,4.428571428571429,4.356385281385281,High
R054,38 – 47 years,Female,Married,Master's Degree,Operations / Teller,Junior Staff,Full-time,Less than 2 years,2 – 5 years,5,5,5,5,3,5,4,4,2,5,4,2,3,4,5,5,4,3,4,4,5,4,5,5,4,4,5,5,4,5,4,5,4,4,5,4,5,4.222222222222222,3.9,4.545454545454546,4.428571428571429,4.274062049062049,Very High
R055,48 years and above,Female,Married,Bachelor's Degree / HND,Operations / Teller,Senior Staff,Full-time,2 – 5 years,5 – 10 years,4,3,4,2,5,4,2,5,5,4,4,4,5,4,5,5,5,4,4,4,4,3,4,4,4,4,4,5,4,4,5,3,4,4,3,4,5,3.7777777777777777,4.4,4.0,4.0,4.044444444444444,High
R056,38 – 47 years,Female,Married,Bachelor's Degree / HND,Operations / Teller,Senior Staff,Full-time,5 – 10 years,2 – 5 years,5,5,4,5,4,4,3,4,4,5,4,5,4,4,5,5,4,4,4,4,4,5,4,5,3,4,4,4,2,5,4,4,4,5,3,3,4,4.222222222222222,4.4,4.0,3.857142857142857,4.11984126984127,High
R057,48 years and above,Male,Married,Bachelor's Degree / HND,Operations / Teller,Senior Staff,Full-time,Above 10 years,Above 10 years,4,5,2,4,5,3,3,4,4,4,5,4,4,5,4,4,4,3,4,4,4,4,5,4,5,5,4,4,3,4,4,4,5,4,5,2,5,3.7777777777777777,4.1,4.181818181818182,4.142857142857143,4.0506132756132756,High
R058,28 – 37 years,Male,Married,Bachelor's Degree / HND,Marketing / Business Development,Senior Staff,Full-time,Above 10 years,2 – 5 years,5,5,4,4,5,4,4,4,4,4,4,5,5,3,2,4,5,4,4,5,5,4,4,5,5,5,4,5,5,4,5,4,5,5,5,4,3,4.333333333333333,4.0,4.636363636363637,4.428571428571429,4.3495670995671,Very High
R059,28 – 37 years,Female,Married,Bachelor's Degree / HND,Finance / Accounts,Junior Staff,Full-time,Less than 2 years,Less than 2 years,5,4,4,3,4,4,5,4,4,5,4,4,4,4,5,2,4,5,3,4,3,4,4,5,5,4,4,5,5,4,2,4,5,5,5,3,5,4.111111111111111,4.0,4.2727272727272725,4.142857142857143,4.131673881673882,High
R060,28 – 37 years,Female,Married,Diploma / OND / NCE,Marketing / Business Development,Junior Staff,Full-time,Above 10 years,Above 10 years,4,4,4,5,3,4,4,4,5,5,4,5,4,5,4,5,4,4,5,4,4,4,3,4,5,5,5,4,5,4,4,4,4,5,5,4,4,4.111111111111111,4.5,4.2727272727272725,4.285714285714286,4.292388167388167,High
R061,38 – 47 years,Female,Married,Bachelor's Degree / HND,Operations / Teller,Junior Staff,Full-time,2 – 5 years,Less than 2 years,3,5,2,4,5,4,3,4,4,4,4,4,5,4,5,2,2,5,4,3,5,4,3,5,4,5,3,2,2,4,3,4,5,4,5,4,5,3.7777777777777777,3.9,3.6363636363636362,4.285714285714286,3.8999639249639246,High
R062,18 – 27 years,Male,Married,Bachelor's Degree / HND,Marketing / Business Development,Junior Staff,Full-time,Above 10 years,5 – 10 years,4,3,4,5,5,3,5,3,4,2,4,1,4,4,4,4,4,3,2,4,4,4,4,5,5,4,5,5,5,5,5,2,4,4,4,5,2,4.0,3.2,4.545454545454546,3.7142857142857144,3.8649350649350653,Very High
R063,28 – 37 years,Female,Single,Professional Certificate,Marketing / Business Development,Senior Staff,Full-time,Above 10 years,2 – 5 years,2,4,4,4,5,5,5,5,4,4,5,2,3,3,1,5,4,4,4,5,4,5,5,4,4,4,5,3,5,5,3,2,3,4,4,4,5,4.222222222222222,3.5,4.454545454545454,3.5714285714285716,3.937049062049062,High
R064,28 – 37 years,Female,Married,Bachelor's Degree / HND,Marketing / Business Development,Junior Staff,Full-time,Less than 2 years,Above 10 years,4,4,4,4,4,4,4,5,3,4,4,4,3,4,4,4,4,4,4,5,3,3,5,4,5,4,4,5,4,4,4,5,5,4,2,4,5,4.0,3.9,4.181818181818182,4.142857142857143,4.056168831168831,High
R065,38 – 47 years,Male,Married,Bachelor's Degree / HND,Operations / Teller,Management / Executive,Full-time,5 – 10 years,Above 10 years,5,2,4,5,5,4,5,4,4,4,5,3,2,2,4,5,4,5,5,5,4,4,4,4,5,1,4,4,5,4,4,5,5,4,4,5,2,4.222222222222222,3.9,4.0,4.142857142857143,4.0662698412698415,High
R066,38 – 47 years,Male,Married,Bachelor's Degree / HND,Marketing / Business Development,Junior Staff,Contract,2 – 5 years,Above 10 years,5,5,5,4,4,3,4,2,5,3,4,4,4,4,4,5,5,3,4,4,4,5,5,4,4,5,4,5,4,5,4,5,4,5,5,4,4,4.111111111111111,4.0,4.454545454545454,4.428571428571429,4.248556998556998,High
R067,28 – 37 years,Male,Single,Bachelor's Degree / HND,Marketing / Business Development,Senior Staff,Full-time,Less than 2 years,Above 10 years,5,4,4,4,4,5,5,4,5,4,5,5,4,5,4,4,4,5,5,5,4,4,5,3,5,4,4,3,4,4,4,4,5,3,4,4,4,4.444444444444445,4.5,4.090909090909091,4.0,4.258838383838384,High
R068,38 – 47 years,Male,Married,Bachelor's Degree / HND,Marketing / Business Development,Junior Staff,Full-time,Less than 2 years,Above 10 years,4,5,4,4,4,4,4,5,1,2,4,5,4,5,5,5,4,3,4,4,4,4,4,2,5,3,4,4,4,4,3,3,4,5,4,3,5,3.888888888888889,4.1,3.8181818181818183,3.857142857142857,3.9160533910533912,High
R069,38 – 47 years,Male,Married,Bachelor's Degree / HND,Finance / Accounts,Junior Staff,Full-time,Above 10 years,2 – 5 years,4,4,5,3,4,4,4,4,5,4,2,5,4,5,4,5,2,4,5,5,5,4,4,4,4,5,4,4,5,5,5,4,4,4,4,4,4,4.111111111111111,4.0,4.454545454545454,4.142857142857143,4.177128427128427,High
R070,28 – 37 years,Female,Married,Bachelor's Degree / HND,Marketing / Business Development,Management / Executive,Full-time,Less than 2 years,5 – 10 years,3,5,4,5,5,2,2,5,2,4,3,4,4,4,4,5,5,5,4,5,4,2,5,4,4,3,5,4,4,2,4,4,4,3,4,5,3,3.6666666666666665,4.2,3.8181818181818183,3.857142857142857,3.885497835497836,High
R071,38 – 47 years,Female,Married,Bachelor's Degree / HND,Operations / Teller,Junior Staff,Full-time,Above 10 years,Less than 2 years,2,4,3,4,4,4,3,4,5,4,4,4,4,4,4,5,4,5,5,4,4,4,4,4,5,4,5,5,4,4,4,4,4,3,4,4,5,3.6666666666666665,4.3,4.2727272727272725,4.0,4.059848484848485,High
R072,28 – 37 years,Female,Married,Bachelor's Degree / HND,Operations / Teller,Senior Staff,Full-time,5 – 10 years,Above 10 years,5,5,5,4,3,5,3,5,3,4,5,4,5,5,5,4,4,5,4,4,5,4,5,5,4,5,4,4,5,4,5,2,4,4,4,5,4,4.222222222222222,4.5,4.454545454545454,4.0,4.294191919191919,High
R073,38 – 47 years,Male,Single,Bachelor's Degree / HND,Marketing / Business Development,Senior Staff,Full-time,Above 10 years,Above 10 years,4,5,4,5,4,4,4,5,4,4,4,5,4,3,5,5,5,4,4,4,5,4,4,4,2,5,4,4,4,4,4,2,5,5,4,4,5,4.333333333333333,4.3,4.0,4.142857142857143,4.194047619047619,High
R074,28 – 37 years,Male,Married,Bachelor's Degree / HND,Marketing / Business Development,Junior Staff,Full-time,5 – 10 years,Less than 2 years,4,5,4,3,4,4,5,4,4,1,4,4,4,4,5,4,2,5,4,5,4,5,4,4,4,4,4,3,5,4,5,2,3,4,4,4,4,4.111111111111111,3.7,4.181818181818182,3.7142857142857144,3.926803751803752,High
R075,38 – 47 years,Female,Single,Bachelor's Degree / HND,Credit and Risk Management,Junior Staff,Full-time,Less than 2 years,5 – 10 years,5,3,4,5,4,4,4,4,3,4,2,4,5,3,5,4,4,3,3,4,4,5,5,4,5,4,4,2,4,4,5,3,3,4,4,4,5,4.0,3.7,4.090909090909091,4.0,3.9477272727272728,High
